Latitude,Longitude,Ba,Cr,Cu,Mn,Ni,V,Zn,As,Bi,Co,Mo,Pb,Sb,Sn,U,Label
53.5221964,-9.2162348,71.4,23.5,26.8,596,21.4,34,65.2,11.65,0.1245,7.29,1.67,22.6,0.315,0.66,3.15,C1
53.1437868,-8.8777064,51.9,38.6,16.05,538,27.8,40.9,53.4,9.67,0.1865,6.83,0.63,24.6,0.227,0.64,0.824,C1
53.6698471,-9.2895841,183.5,21.2,12.45,455,16.3,25,37.3,3.69,0.0745,3.33,0.33,18.3,0.195,0.71,3.63,C1
53.7103995,-7.8559207,47.5,13.8,7.31,48.2,12.8,18.4,35.1,3.44,0.0385,3.67,0.51,16.3,0.2,0.27,0.617,C1
53.3267091,-8.9094158,89.2,50.4,14.65,281,33.5,65.6,52.8,8.47,0.1365,7.39,0.7,26.1,0.194,0.77,1.365,C1
53.389919,-9.0850437,129,37.1,33.5,949,30.2,44.2,92.8,12.7,0.161,9.95,0.61,32.8,0.402,0.82,1.765,C1
53.613235,-9.1966221,84.6,23.4,14.95,590,22.9,27.5,74.4,7.89,0.118,7.28,0.54,23.8,0.255,0.79,0.875,C1
53.4890782,-8.8882975,45.3,19.45,24,550,27.8,29.5,71.4,9.3,0.083,6.28,0.8,19.45,0.339,0.76,1.75,C1
53.6463556,-8.8606596,30.2,12.35,6.67,509,16.15,19.4,35.7,5.75,0.0567,4.54,1.4,14.9,0.163,0.4,1.025,C1
53.2404898,-8.882484,26.8,20.3,7.11,516,21.1,30.6,55.5,6.32,0.1065,5.15,1.2,23.8,0.278,0.47,0.961,C1
53.2177784,-6.4987162,50.6,17.75,9.97,427,13.65,30.4,48.6,8.79,0.149,4.06,0.75,27.6,0.445,0.92,0.743,C1
53.3984724,-9.0092803,88.1,29,20.1,606,26.5,36.7,71.9,6.19,0.11,8.57,0.52,23.2,0.253,0.69,1.145,C1
53.5252924,-9.3353729,137.5,30.6,15.1,516,26.8,30.2,55.8,2.91,0.1975,7.73,0.4,33.5,0.128,0.82,0.626,C1
53.5984252,-9.1274309,63,21.4,17.75,702,17.75,26.9,60.1,8.05,0.102,6.15,0.6,31.4,0.263,0.56,0.966,C1
53.5266662,-9.311922,309,17.7,7.1,557,11.4,21.8,29.6,1.62,0.0876,4.86,0.51,19.6,0.197,0.49,0.758,C1
53.5603572,-8.8241742,26.4,15.7,12,238,23.8,29.1,57.5,6.43,0.0793,4.08,1.29,14.8,0.38,0.58,1.64,C1
53.5615609,-8.9180207,35.7,23.5,23.5,324,32.1,31.3,67.7,7.61,0.0997,8.27,0.93,14.4,0.25,0.75,1.035,C1
53.6525886,-9.2039371,69.8,21.6,16.25,171,19.55,33.4,42.5,4.24,0.0823,4.79,0.49,23.6,0.221,0.63,3.89,C1
53.5776793,-8.8919799,35,18.05,17.8,91.3,18.2,26.6,44.6,6.03,0.0808,4.38,0.5,12.95,0.151,0.7,1.32,C1
53.6351734,-8.8613542,28.3,9.33,11.6,292,9.94,13.7,35.6,5.84,0.0626,3.4,0.98,11.6,0.19,0.42,1.17,C1
53.5553683,-9.2860101,83.1,38.9,11.6,1465,24.5,41.9,60.2,11.25,0.1565,8.46,1.06,35.7,0.422,0.82,0.75,C1
53.5945229,-9.3054139,154.5,31.5,27.6,706,29.8,41.6,61.6,10.45,0.1165,11.8,0.48,19.15,0.218,0.8,1.29,C1
53.5543503,-9.3110882,180.5,35.6,22.1,688,35.4,39.5,72.6,4.66,0.1675,12.5,0.47,20.9,0.162,0.78,0.722,C1
53.6825702,-9.2651358,134.5,34.1,8.86,269,31,42.2,50.8,4.07,0.0949,9.44,0.55,19.75,0.167,0.63,1.12,C1
53.6653054,-8.9609994,28.2,11.1,16.35,46.3,7.21,14.4,21.1,3.4,0.0542,1.65,0.41,14.25,0.095,0.73,0.719,C1
53.5948681,-8.8371546,28.6,17.85,17.05,164,20.1,23.7,48,7.65,0.07,4.64,0.9,12,0.18,0.65,1.265,C1
53.4179881,-9.1047847,123.5,37.4,18.15,639,30.4,47.3,81.8,10.15,0.1685,10.5,0.57,30.6,0.318,0.89,1.545,C1
53.6338606,-9.2584021,112.5,30.1,18.6,611,27.9,36.3,66,5.06,0.1235,9.67,0.66,19.2,0.175,0.74,1.365,C1
53.6129158,-9.2838144,238,13.85,19.55,143,18.3,16.8,22.8,2.6,0.0492,3.31,0.63,20.4,0.359,0.37,7.23,C1
53.5952899,-9.2252203,66.8,21.9,11.45,601,13.65,29.3,67.8,6.99,0.1085,5.49,0.6,24.1,0.193,0.89,1.345,C1
53.5236129,-8.9290365,39.7,20.1,21,410,25.8,31.6,67.6,6.93,0.0845,5.55,0.7,15.45,0.374,0.73,1.425,C1
53.5379316,-9.312949,150,34.2,37.8,1015,34.2,39.7,70.4,7.13,0.1785,11.85,0.64,22.3,0.276,0.85,1.175,C1
53.8319664,-7.6475951,68.9,26.7,42.9,182.5,15.5,41.6,47.5,4.22,0.0892,4.69,0.69,20.5,0.311,0.88,0.775,C1
53.235328,-8.9959444,68.8,28.7,15.9,1205,31,40.3,85.5,13.2,0.197,8.33,1.67,29.4,0.401,0.71,0.976,C1
53.6162421,-9.3019584,80.1,19.05,28.1,1095,24.8,32.3,76,8.04,0.1125,8.84,0.7,17.05,0.315,0.8,1.495,C1
53.5378515,-9.2813917,90.2,27.5,16.75,775,27.5,35,75.8,7.19,0.1735,10.5,0.86,54.4,0.239,0.89,1.3,C1
53.1496672,-6.7331953,75.4,23.8,13.15,1115,25,32.4,116.5,9.68,0.117,9.46,1.22,37,0.618,1.21,0.955,C1
53.5372686,-9.2264256,100.5,29,21.1,748,32.4,38.8,62.8,9.64,0.141,9.83,0.73,38.5,0.27,1.36,0.974,C1
53.6154046,-9.1296057,89.9,38.1,29.3,655,39.6,44.8,85.1,12.65,0.1345,12.3,0.64,30.9,0.389,0.77,1.81,C1
53.6711289,-8.931264,19.2,9.62,17,120.5,8.89,11.8,24.6,3.22,0.0596,2.46,0.61,11,0.13,0.53,0.721,C1
53.342445,-8.8568416,45.1,45,12.25,1045,42.7,79.7,59.3,5.21,0.1845,5.51,2.3,29.2,0.396,0.79,1.14,C1
53.9903571,-8.2219876,71.1,37.1,24.9,992,43.7,54.3,87,13.2,0.1405,11.85,1.86,25.8,0.462,0.98,1.76,C1
53.5563281,-9.1951819,67.5,36.2,11,1420,23.8,44,76.2,11.6,0.1545,7.34,0.84,36.3,0.428,0.88,1.045,C1
53.2149436,-8.8861804,48.7,26.9,26.6,809,35.6,34.5,76.1,15.25,0.161,7.75,1.11,19.15,0.435,0.77,1.03,C1
53.1793479,-6.9093397,72.7,18.95,11.55,868,21.1,24.3,92.3,7.06,0.0921,7.59,0.87,27.2,0.6,1.02,0.797,C1
53.3239176,-8.8262007,46.8,25.7,13.6,463,32.6,36.4,59.5,6.48,0.1145,7.34,1.34,16.25,0.269,0.88,1.3,C1
53.5378722,-9.252281,41.5,28.9,8.94,709,19,41.7,55.7,4.03,0.105,4.24,1.1,18.6,0.221,0.81,0.901,C1
53.6114109,-9.2320632,86.2,24.9,31.2,586,22.7,29.4,60.4,6.75,0.116,7.28,0.48,29.8,0.265,1.2,1.075,C1
53.1962718,-6.4521526,75.8,21.9,19.35,420,21.9,36.4,85.2,10.45,0.328,6.25,0.71,45.5,0.673,2.25,2.66,C1
53.9545548,-8.8076288,36.9,6.98,15.3,248,4.99,19.6,22.6,3.49,0.0689,2.58,0.46,12.85,0.185,0.93,0.481,C1
53.6854294,-8.8939521,23.4,14.55,18.2,178,12.85,20.3,30.6,6.82,0.0779,3.1,1.42,12.45,0.241,0.52,1.27,C1
53.1948901,-6.9612689,80.1,24.7,14.25,1145,36.4,30.8,100.5,8.2,0.0972,11.2,1.05,26.7,0.469,0.72,1.065,C1
53.103936,-6.5892582,99.4,30,23.8,1070,20.2,43.7,129,26.7,0.243,11.95,1.89,33.3,0.35,1.66,2.04,C1
53.6658647,-9.0996831,35.3,16.15,17.35,83.4,13.65,25.3,33.3,4.75,0.0676,2.99,0.39,17.75,0.202,0.8,1.12,C1
53.4729486,-8.8539554,4.4,0.6,1.58,9.1,0.96,1.5,16.8,0.51,0.0221,0.147,0.17,8.47,0.133,0.16,0.273,C1
